date,open,high,low,close,volume
2021-08-26,419.284708,419.518366,416.994880,417.088348,57829600
2021-08-27,417.892106,421.191351,417.836030,420.817505,77235100
2021-08-30,421.490416,423.453147,421.247403,422.668060,48357400
2021-08-31,422.574647,422.911100,421.443752,422.041901,59300200
2021-09-01,422.976503,423.490538,422.032517,422.266174,48721400
2021-09-02,423.686845,424.369107,422.369012,423.565338,42501000
2021-09-03,422.434362,423.976497,422.032449,423.462433,47170500
2021-09-07,423.116653,423.210121,421.275429,421.948364,51671500
2021-09-08,421.415735,422.144746,419.518407,421.434418,56181900
2021-09-09,421.238151,422.985906,419.387572,419.630585,57970400
2021-09-10,421.555837,421.976404,416.200393,416.321899,89948200
2021-09-13,419.312725,419.574421,415.078821,417.387360,83738600
2021-09-14,418.826692,419.032312,414.247008,415.134918,78197100
2021-09-15,415.555542,419.097801,414.452684,418.602448,78792200
2021-09-16,418.079001,419.050997,414.994703,417.938812,77786700
2021-09-17,417.168196,417.590110,413.511435,413.867737,118425000
2021-09-20,407.754337,409.329540,402.109817,406.966736,166445500
2021-09-21,409.301413,410.595339,406.057238,406.582306,92526100
2021-09-22,408.851363,412.583121,406.694837,410.548462,102350100
2021-09-23,412.414312,417.139950,412.179906,415.536591,76396000
2021-09-24,413.905195,416.933735,413.689531,416.221130,62094800
2021-09-27,415.189776,416.352422,414.336533,415.030396,61371100
2021-09-28,412.264278,412.592452,405.935310,406.666656,130436300
2021-09-29,408.045030,409.779642,406.788616,407.351196,82329200
2021-09-30,408.823211,409.526430,402.034816,402.372375,140506000
2021-10-01,404.097598,408.832592,400.581505,407.154236,129240100
2021-10-04,405.991657,406.891769,399.765813,401.903625,128570000
2021-10-05,403.403736,408.326266,402.606777,406.085358,90682500
2021-10-06,402.494299,407.979411,400.872226,407.773132,113032200
2021-10-07,411.045466,414.130232,410.867315,411.298615,72437500
2021-10-08,412.067438,412.451868,409.920269,410.548462,74557400
2021-10-11,409.892168,412.798811,407.510592,407.576233,65233300
